customer id,Credit history,Purpose,Credit amount,Installment rate ,guarantors,Other installment plans,Number of existing credits ,liable to provide maintenance 
CP-1234058,critical account,radio/television,1582,4,none,none,2,1
EH-1412545,existing credits paid back duly till now,radio/television,1346,2,none,Bank,1,2
NC-183407,existing credits paid back duly till now,radio/television,1924,1,none,none,1,1
JS-1603059,existing credits paid back duly till now,radio/television,5848,4,none,none,1,1
AM-10360139,critical account,Used Car,7758,2,none,none,1,1
JF-1519021,delay in paying off in the past,business,6967,4,none,none,1,1
AB-100157,existing credits paid back duly till now,furniture/equipment,1282,2,none,none,1,1
JG-15160139,critical account,repairs,1288,3,guarantor,none,2,2
AH-100751406,all credits at this bank paid back duly,retraining,339,4,none,Bank,1,1
AG-1033059,existing credits paid back duly till now, New Car,3512,2,none,Bank,2,1
NF-1847548,critical account,radio/television,1898,1,none,none,2,2
DR-129407,critical account,radio/television,2872,3,none,none,1,2
NB-1865548,critical account, New Car,1055,4,none,none,2,1
NM-1844527,existing credits paid back duly till now,domestic appliances,1262,4,none,none,2,1
TA-213857,existing credits paid back duly till now, New Car,7308,2,none,Bank,1,1
SC-20380102,existing credits paid back duly till now, New Car,909,4,none,none,1,1
PA-9060117,existing credits paid back duly till now,furniture/equipment,2978,1,none,none,1,1
RB-19570120,existing credits paid back duly till now,furniture/equipment,1131,4,none,none,1,1
AH-100751404,existing credits paid back duly till now,furniture/equipment,1577,4,none,none,1,1
LH-1675036,existing credits paid back duly till now,furniture/equipment,3972,2,none,none,1,1
AH-100751402,critical account,business,1935,4,none,none,2,1
KB-1658527,all credits paid back duly, New Car,950,4,none,none,2,2
AH-1007523,existing credits paid back duly till now,furniture/equipment,763,4,none,none,1,1
MZ-751560,delay in paying off in the past,furniture/equipment,2064,3,none,none,1,1
DM-1334558,existing credits paid back duly till now,radio/television,1414,4,guarantor,none,1,1
CA-1196566,delay in paying off in the past,education,3414,2,none,none,2,1
SC-20305120,all credits at this bank paid back duly,Used Car,7485,4,none,Bank,1,1
MH-1811558,existing credits paid back duly till now,furniture/equipment,2577,2,none,none,1,1
KS-163007,critical account,radio/television,338,4,none,none,2,1
BG-1174078,existing credits paid back duly till now,radio/television,1963,4,none,none,2,2
CR-2625108,critical account, New Car,571,4,none,none,2,1
DK-1309027,delay in paying off in the past,business,9572,1,none,none,2,1
JL-1583527,delay in paying off in the past,business,4455,2,none,stores,2,1
AP-1072058,all credits at this bank paid back duly, New Car,1647,4,none,none,2,2
CR-1282058,critical account,furniture/equipment,3777,4,none,none,1,1
BF-110807,critical account, New Car,884,4,none,Bank,1,2
JM-15265102,critical account,radio/television,1360,4,none,none,2,1
TW-2102545,all credits at this bank paid back duly,Used Car,5129,2,none,Bank,1,2
RB-1933045,critical account, New Car,1175,2,none,none,3,1
AH-100751408,existing credits paid back duly till now,radio/television,674,4,none,none,1,1
AB-10060117,all credits paid back duly,furniture/equipment,3244,1,none,Bank,2,1
JR-567038,existing credits paid back duly till now,business,4591,2,none,none,3,1
MD-1735028,all credits paid back duly,business,3844,4,none,none,1,2
EB-13840139,existing credits paid back duly till now,business,3915,4,none,none,1,2
JL-58359,existing credits paid back duly till now,radio/television,2108,2,none,none,1,1
EP-1391559,existing credits paid back duly till now,radio/television,3031,4,guarantor,none,1,1
MS-17770139,critical account,education,1501,2,none,none,2,1
CM-1265545,critical account,radio/television,1382,1,none,none,2,1
JC-610575,existing credits paid back duly till now,furniture/equipment,951,4,none,Bank,4,1
GB-145307,existing credits paid back duly till now,Used Car,2760,4,none,Bank,1,1
JH-161805,delay in paying off in the past,furniture/equipment,4297,4,none,none,1,1
MT-807038,critical account,education,936,4,none,none,2,1
AB-1010558,existing credits paid back duly till now, New Car,1168,4,none,none,1,1
CV-280572,delay in paying off in the past,business,5117,3,none,none,2,1
NH-1861092,existing credits paid back duly till now,retraining,902,4,none,none,1,1
HJ-1487527,critical account, New Car,1495,4,none,none,2,2
JL-1517518,critical account,Used Car,10623,3,none,none,3,2
MY-1829593,critical account,furniture/equipment,1935,4,none,none,3,1
KC-1654093,critical account,domestic appliances,1424,4,none,none,1,1
CS-1246093,existing credits paid back duly till now,business,6568,2,none,stores,1,1
HA-1492027,existing credits paid back duly till now,Used Car,1413,3,none,none,1,1
MT-1781545,critical account,radio/television,3074,1,none,none,2,2
FW-1439545,existing credits paid back duly till now,radio/television,3835,2,none,none,1,1
BH-1171048,all credits paid back duly,business,5293,2,none,stores,2,1
DK-1289559,delay in paying off in the past,business,1908,4,none,none,1,1
KD-1627018,critical account,radio/television,3342,4,none,none,1,1
SC-208458,critical account,retraining,932,1,none,none,2,1
CY-1274582,all credits paid back duly,business,3104,3,none,Bank,1,1
HL-150407,existing credits paid back duly till now,radio/television,3913,2,none,none,1,1
CT-1199566,existing credits paid back duly till now,furniture/equipment,3021,2,none,none,1,1
CC-12370139,existing credits paid back duly till now, New Car,1364,2,none,none,1,1
GR-456072,existing credits paid back duly till now,radio/television,625,4,guarantor,Bank,1,1
TT-2107058,existing credits paid back duly till now,education,1200,4,none,Bank,1,1
PO-19195120,existing credits paid back duly till now,radio/television,707,4,none,Bank,2,1
ED-13885144,delay in paying off in the past,business,2978,4,none,none,2,2
AP-1091559,existing credits paid back duly till now,Used Car,4657,3,none,none,1,1
TM-2149031,all credits paid back duly,repairs,2613,4,none,none,2,1
AW-1084091,existing credits paid back duly till now,radio/television,10961,1,co-applicant,Bank,2,1
SG-10605107,existing credits paid back duly till now,furniture/equipment,7865,4,none,none,1,1
BM-1178582,existing credits paid back duly till now,radio/television,1478,4,none,none,1,1
DK-1337582,existing credits paid back duly till now,furniture/equipment,3149,4,none,Bank,1,1
AS-100901406,existing credits paid back duly till now,radio/television,4210,4,none,none,1,1
AS-100901402,existing credits paid back duly till now, New Car,2507,2,none,none,1,1
SF-10200134,existing credits paid back duly till now,radio/television,2141,3,none,none,1,1
JW-5220111,existing credits paid back duly till now,radio/television,866,4,guarantor,none,1,1
CC-1210082,critical account,radio/television,1544,2,none,none,3,2
RD-1993092,existing credits paid back duly till now,radio/television,1823,4,none,stores,1,2
BP-123022,existing credits paid back duly till now, New Car,14555,1,none,none,1,1
SA-20830139,existing credits paid back duly till now,business,2767,4,none,Bank,2,1
EM-1381058,critical account,radio/television,1291,4,none,none,2,1
CS-12175130,existing credits paid back duly till now,radio/television,2522,1,guarantor,none,1,2
JD-16060120,existing credits paid back duly till now, New Car,915,4,none,Bank,1,1
GH-1466527,existing credits paid back duly till now,radio/television,1595,3,none,none,1,2
CM-1193527,all credits paid back duly,Used Car,4605,3,none,none,2,2
JB-1600093,critical account,business,1185,3,none,none,2,1
RB-9465108,all credits at this bank paid back duly,retraining,3447,4,none,none,1,2
RB-1979518,existing credits paid back duly till now,business,1258,4,none,none,1,1
PO-191957,critical account,radio/television,717,4,none,none,3,1
TS-212057,all credits paid back duly, New Car,1204,4,none,Bank,1,1
MV-8190117,existing credits paid back duly till now,furniture/equipment,1925,2,none,none,1,1
BD-11560139,existing credits paid back duly till now,radio/television,433,3,co-applicant,none,1,1
PS-1876059,critical account, New Car,666,3,none,none,2,1
FM-1421551,existing credits paid back duly till now,furniture/equipment,2251,1,none,none,1,1
CA-1277558,existing credits paid back duly till now, New Car,2150,4,guarantor,Bank,1,1
CD-1279048,delay in paying off in the past,furniture/equipment,4151,2,none,none,2,1
NL-1831092,existing credits paid back duly till now,furniture/equipment,2030,2,none,none,1,1
TB-2105545,delay in paying off in the past,radio/television,7418,1,none,none,1,1
KD-1649527,critical account,radio/television,2684,4,none,none,2,1
EH-412557,all credits at this bank paid back duly,radio/television,2149,4,none,none,1,1
KB-1660058,existing credits paid back duly till now,Used Car,3812,1,none,none,1,1
MG-1769564,critical account,radio/television,1154,4,none,none,3,1
VF-21715102,existing credits paid back duly till now,furniture/equipment,1657,2,none,none,1,1
BP-11290113,existing credits paid back duly till now,radio/television,1603,4,none,none,1,1
HZ-49504,critical account, New Car,5302,2,none,none,3,1
EM-1382566,critical account,education,2748,2,none,Bank,3,1
AS-100901408,critical account, New Car,1231,3,none,none,2,2
BS-1180059,existing credits paid back duly till now,radio/television,802,4,none,none,1,2
DV-1346539,critical account,business,6304,4,none,none,2,1
MB-173057,existing credits paid back duly till now,radio/television,1533,4,none,stores,1,1
PC-19000120,existing credits paid back duly till now, New Car,8978,1,none,none,1,1
CA-1231045,existing credits paid back duly till now,radio/television,999,4,none,none,2,1
MB-1808545,existing credits paid back duly till now, New Car,2662,4,none,none,1,1
AS-100901404,critical account,furniture/equipment,1402,3,none,none,1,1
DB-3660107,all credits at this bank paid back duly, New Car,12169,4,co-applicant,none,1,1
BG-1174018,existing credits paid back duly till now,radio/television,3060,4,none,none,2,1
KB-1631578,existing credits paid back duly till now,repairs,11998,1,none,none,1,1
PK-190757,existing credits paid back duly till now,radio/television,2697,1,none,none,1,2
CS-121757,critical account,radio/television,2404,2,none,none,2,1
AF-1088545,existing credits paid back duly till now,furniture/equipment,1262,2,none,none,1,1
SJ-2050045,existing credits paid back duly till now,furniture/equipment,4611,1,none,none,1,1
DM-1295545,existing credits paid back duly till now,radio/television,1901,4,none,none,1,1
CC-1261048,critical account,Used Car,3368,3,none,none,2,1
BE-114557,existing credits paid back duly till now,furniture/equipment,1574,4,none,none,1,1
TG-2164014,all credits at this bank paid back duly,radio/television,1445,4,none,Bank,1,1
VM-2168545,critical account,furniture/equipment,1520,4,none,none,1,1
SC-2069539,critical account, New Car,3878,4,none,none,1,1
SN-2056097,existing credits paid back duly till now, New Car,10722,1,none,none,1,1
CD-122807,existing credits paid back duly till now,Used Car,4788,4,none,none,1,2
CC-1210045,delay in paying off in the past,Others,7582,2,none,none,1,1
BG-1103544,existing credits paid back duly till now,radio/television,1092,4,guarantor,none,2,1
CC-125507,delay in paying off in the past,radio/television,1024,4,none,stores,1,1
AB-101057,existing credits paid back duly till now,business,1076,2,none,none,1,1
SV-2078559,existing credits paid back duly till now,Used Car,9398,1,none,none,1,1
HW-1493545,critical account,Used Car,6419,2,none,none,2,2
AS-1028558,critical account,Used Car,4796,4,none,none,1,1
LD-1685545,critical account,business,7629,4,none,Bank,2,2
NS-1850528,existing credits paid back duly till now,furniture/equipment,9960,1,none,none,1,1
CM-1271582,existing credits paid back duly till now,Used Car,4675,1,none,none,1,1
VG-2180527,existing credits paid back duly till now, New Car,1287,4,co-applicant,none,1,1
JD-606049,existing credits paid back duly till now,furniture/equipment,2515,3,none,none,1,1
MG-17680144,critical account,furniture/equipment,2745,3,none,none,2,1
CD-1228058,existing credits paid back duly till now, New Car,672,1,none,none,1,1
DB-13210139,all credits paid back duly,radio/television,3804,4,none,none,1,1
CS-118608,critical account, New Car,1344,4,none,Bank,2,2
AF-1088558,critical account, New Car,1038,4,co-applicant,none,2,1
BN-11470130,critical account, New Car,10127,2,none,Bank,1,1
GG-1465045,existing credits paid back duly till now,furniture/equipment,1543,4,none,none,1,1
BS-166560,existing credits paid back duly till now,Used Car,4811,2,none,stores,1,1
AC-1045058,existing credits paid back duly till now,radio/television,727,4,none,none,1,1
CK-1220564,existing credits paid back duly till now,furniture/equipment,1237,3,none,none,1,1
JD-16150139,existing credits paid back duly till now, New Car,276,4,none,none,1,1
CC-2550137,existing credits paid back duly till now,Others,5381,3,none,Bank,1,1
MS-17830139,existing credits paid back duly till now,furniture/equipment,5511,4,none,stores,1,1
GT-14710120,existing credits paid back duly till now,furniture/equipment,3749,2,none,none,1,1
CL-1270058,existing credits paid back duly till now, New Car,685,2,none,Bank,1,1
MM-1792045,existing credits paid back duly till now, New Car,1494,1,none,none,1,2
CM-1216093,all credits at this bank paid back duly,furniture/equipment,2746,4,none,Bank,1,1
DB-1306027,existing credits paid back duly till now,furniture/equipment,708,2,guarantor,none,1,2
JW-522087,existing credits paid back duly till now,furniture/equipment,4351,1,none,none,1,1
BN-1147082,critical account,education,701,4,none,none,2,1
JC-157757,delay in paying off in the past,furniture/equipment,3643,1,none,none,2,1
HL-1504093,critical account, New Car,4249,4,none,none,2,1
LH-1690018,existing credits paid back duly till now,radio/television,1938,4,none,none,1,1
DV-1304559,existing credits paid back duly till now,Used Car,2910,2,none,none,1,1
BT-1153058,existing credits paid back duly till now,furniture/equipment,2659,4,none,none,1,1
BM-165060,critical account, New Car,1028,4,none,none,2,1
MG-1820558,critical account, New Car,3398,1,none,none,2,1
FC-1424528,critical account,furniture/equipment,5801,2,none,none,1,1
TT-2122051,existing credits paid back duly till now, New Car,1525,4,none,none,1,2
CY-1274558,existing credits paid back duly till now,radio/television,4473,4,none,none,1,1
SJ-2021582,existing credits paid back duly till now,radio/television,1068,4,none,none,1,2
PB-1880593,critical account,Used Car,6615,2,none,none,2,1
RW-1969027,critical account,education,1864,4,none,none,2,1
DB-3360146,existing credits paid back duly till now, New Car,7408,4,none,none,1,1
DK-1315048,critical account,Used Car,11590,2,none,Bank,2,1
RW-9540117,all credits paid back duly,furniture/equipment,4110,3,none,Bank,2,2
PS-1904527,critical account,furniture/equipment,3384,1,none,none,1,1
AB-101051402,existing credits paid back duly till now,radio/television,2101,2,guarantor,none,1,1
MO-1780066,existing credits paid back duly till now,domestic appliances,1275,4,none,none,1,1
NF-1847527,existing credits paid back duly till now,furniture/equipment,4169,4,none,none,1,1
MR-1754558,existing credits paid back duly till now,furniture/equipment,1521,4,none,none,1,1
CB-1241548,critical account,education,5743,2,none,none,2,1
LC-1705092,existing credits paid back duly till now,furniture/equipment,3599,1,none,none,1,1
RA-1988527,existing credits paid back duly till now,radio/television,3213,1,none,none,1,1
MG-814533,existing credits paid back duly till now,business,4439,1,co-applicant,Bank,1,1
AB-101051408,existing credits paid back duly till now, New Car,3949,1,guarantor,none,1,2
EM-1396058,critical account,radio/television,1459,4,none,none,1,1
DJ-1342082,critical account,radio/television,882,4,guarantor,none,2,1
CD-1192045,existing credits paid back duly till now,radio/television,3758,1,none,none,1,1
BO-1142582,delay in paying off in the past,business,1743,1,none,none,2,1
AB-101051404,critical account,education,1136,4,none,none,2,2
KM-16720102,existing credits paid back duly till now,domestic appliances,1236,1,none,none,1,1
SV-2078545,existing credits paid back duly till now,furniture/equipment,959,1,none,none,1,1
BG-1169582,critical account,Used Car,3229,2,none,none,1,1
CS-121307,all credits paid back duly,radio/television,6199,4,none,none,2,1
BD-163561,existing credits paid back duly till now,education,727,4,none,none,1,1
RF-19345120,existing credits paid back duly till now, New Car,1246,4,none,stores,1,1
JE-1616559,critical account,radio/television,2331,1,co-applicant,none,1,1
MG-768060,delay in paying off in the past,radio/television,4463,4,none,none,2,1
CC-1247558,existing credits paid back duly till now,radio/television,776,4,none,none,1,1
LT-1676564,existing credits paid back duly till now,furniture/equipment,2406,4,none,none,1,1
FH-14365120,existing credits paid back duly till now,education,1239,4,none,none,1,1
BF-1097545,existing credits paid back duly till now,radio/television,3399,2,none,none,1,1
CJ-1201027,delay in paying off in the past, New Car,2247,2,none,stores,2,1
SH-997557,existing credits paid back duly till now,furniture/equipment,1766,1,none,none,1,1
SL-2015582,existing credits paid back duly till now,furniture/equipment,2473,4,none,none,1,1
NC-834073,existing credits paid back duly till now,business,1542,2,none,none,1,1
JB-5400117,critical account,Used Car,3850,3,none,none,2,1
TB-2125031,existing credits paid back duly till now,furniture/equipment,3650,1,none,none,1,1
PS-1897028,existing credits paid back duly till now,furniture/equipment,3446,4,none,none,1,2
BB-1154548,existing credits paid back duly till now,furniture/equipment,3001,2,none,none,1,1
SG-1047047,existing credits paid back duly till now, New Car,3079,4,none,none,1,1
SP-20920130,critical account,radio/television,6070,3,none,none,2,1
NZ-1856558,critical account,furniture/equipment,2146,1,none,none,2,1
Dp-1324027,critical account, New Car,13756,2,none,Bank,1,1
GZ-1447064,all credits at this bank paid back duly,Others,14782,3,none,Bank,2,1
AH-1007582,all credits at this bank paid back duly,business,7685,2,guarantor,none,1,1
CB-2025103,delay in paying off in the past,radio/television,2320,2,none,none,2,1
SC-200507,delay in paying off in the past,radio/television,846,3,none,none,1,1
AM-10705125,existing credits paid back duly till now, New Car,14318,4,none,none,1,1
SC-102302,critical account, New Car,362,4,none,none,2,1
JS-1559559,existing credits paid back duly till now,furniture/equipment,2212,4,none,none,1,1
BS-1138059,existing credits paid back duly till now,Used Car,12976,3,none,none,1,1
TC-21295130,existing credits paid back duly till now, New Car,1283,4,none,none,1,1
JL-5130108,existing credits paid back duly till now, New Car,1330,4,none,none,1,1
Dp-1324066,delay in paying off in the past,business,4272,2,none,none,2,1
NF-1838511,critical account,radio/television,2238,2,none,none,2,1
AS-10090139,existing credits paid back duly till now,radio/television,1126,4,none,none,1,1
EL-137357,critical account,furniture/equipment,7374,4,none,stores,2,1
FH-1427559,critical account,business,2326,2,none,Bank,1,1
LT-1676558,existing credits paid back duly till now,business,1449,3,none,none,2,1
BN-1147027,existing credits paid back duly till now, New Car,1820,2,none,none,1,1
BP-11230120,existing credits paid back duly till now,furniture/equipment,983,1,none,none,1,1
DM-1352558,existing credits paid back duly till now, New Car,3249,2,none,Bank,1,2
SM-1032025,critical account,radio/television,1957,1,none,none,1,1
PM-191357,critical account,furniture/equipment,2406,2,none,none,1,1
TS-1143085,delay in paying off in the past,education,11760,2,none,none,1,1
TS-2134018,existing credits paid back duly till now,furniture/equipment,2578,3,none,none,1,1
AM-107057,critical account,furniture/equipment,2348,3,none,none,2,1
LS-1724582,existing credits paid back duly till now, New Car,1223,1,none,none,2,1
CM-1181597,critical account,radio/television,1516,4,none,none,2,1
FG-1426045,existing credits paid back duly till now,radio/television,1473,3,none,none,1,1
